,,,,,,,,Latitude,Longitude
Bethel Pentecostal Church of God,72 Eisenhower Ave.,"Brentwood, NY 11717",631-273-3055,,,,"72 Eisenhower Ave., Brentwood, NY 11717",40.7820255,-73.2752745
Family Service League/Brentwood,801 Crooked Hill Rd.,"Brentwood, NY 11717",631-273-9800,,,,"801 Crooked Hill Rd., Brentwood, NY 11717",40.800851,-73.2811892
God's Provision #13,19 Nostrand Ave.,"Brentwood, NY 11717",631-790-3820,,,,"19 Nostrand Ave., Brentwood, NY 11717",40.7893725,-73.2328794
God's Provision #15,"155 3rd Ave,","Brentwood, NY 11717",631-790-3820,,,,"155 3rd Ave,, Brentwood, NY 11717",40.7773875,-73.2438167
God's Provision #8,12 Calebs Path,"Brentwood, NY 11717",631-790-3820,,,,"12 Calebs Path, Brentwood, NY 11717",40.787393,-73.2211821
God's Provision La Sagrada Palabra,329 Crooked Hill Rd,"Brentwood, NY 11717",631-475-2479,,,,"329 Crooked Hill Rd, Brentwood, NY 11717",40.7855864,-73.2686598
Hospitality Too FP @ St. Anne's Church,88 Second Ave.,"Brentwood, NY 11717",631-665-1811,,,,"88 Second Ave., Brentwood, NY 11717",40.7774593,-73.241381
Mission BOA @ Central Islip Church of God,77 Marshall Ave.,"Brentwood, NY 11717",631-416-7677,,,,"77 Marshall Ave., Brentwood, NY 11717",40.7834708,-73.271307
St. Luke's RC Church,266 Wicks Rd.,"Brentwood, NY 11717",631-435-3931,,,,"266 Wicks Rd., Brentwood, NY 11717",40.7884455,-73.2652944
"East Islip
St. Mary's Parish Social Ministry Outreach",20 Harrison Ave.,"East Islip, NY 11730",631-581-4266,,,,"20 Harrison Ave., East Islip, NY 11730",40.7298926,-73.1961116
