Entity Name,Operation,Street Name,City,State,Zip Code,Address,Latitude,Longitude
1625 MEAT CORP/COMPARE FOODS,Super Store/Chain Store,1925 Brentwood Rd,Brentwood,NY,11717-4624,"1925 Brentwood Rd,Brentwood,NY",40.7801485,-73.2441918
La Tropical ll,Convenience Store,136 Heyward St,Brentwood,NY,11717-2041,"136 Heyward St,Brentwood,NY",40.798192,-73.2493133
Speedway 7627,Convenience Store,1861 5th Ave,Brentwood,NY,11717-4635,"1861 5th Ave,Brentwood,NY",40.7771026,-73.2592818
Peralta Brentwood Deli Grocery Inc.,Convenience Store,152 Heyward St,Brentwood,NY,11717-2041,"152 Heyward St,Brentwood,NY",40.7983168,-73.2485811
126 Clarke Market Corp/Fine Fare,Super Store/Chain Store,126 Clarke St,Brentwood,NY,11717-2093,"126 Clarke St,Brentwood,NY",40.7987266,-73.2500897
Family Dollar 8324,Combination Grocery/Other,400 Suffolk Ave,Brentwood,NY,11717-4207,"400 Suffolk Ave,Brentwood,NY",40.7777266,-73.2589348
LA PLACITA CORP,Medium Grocery Store,92 Wicks Rd,Brentwood,NY,11717-3532,"92 Wicks Rd,Brentwood,NY",40.7799979,-73.2616309
Compare Fish Markt Inc,Specialty Food Store - Seafood Products,725B Commack Rd,Brentwood,NY,11717,"725B Commack Rd,Brentwood,NY",40.7589815,-73.2312896
Espinal Mini Market Ny Corp.,Convenience Store,1050 Islip Ave,Brentwood,NY,11717-7807,"1050 Islip Ave,Brentwood,NY",40.7666638,-73.2111745
7-Eleven Store 39223,Convenience Store,260 Motor Pkwy,Brentwood,NY,11717-1215,"260 Motor Pkwy,Brentwood,NY",40.8055379,-73.2669971
725 COMMACK MEAT CORP/COMPARE FDS,Super Store/Chain Store,725 Commack Rd,Brentwood,NY,11717-7407,"725 Commack Rd,Brentwood,NY",40.7589815,-73.2312896
La Quisqueya Corp.,Convenience Store,12 1st Ave,Brentwood,NY,11717-4602,"12 1st Ave,Brentwood,NY",40.7795154,-73.2474058
CVS Pharmacy 2318,Combination Grocery/Other,1760 5th Ave,Brentwood,NY,11717,"1760 5th Ave,Brentwood,NY",40.768712,-73.2614911
brentwood ny discount inc,Medium Grocery Store,69 Wicks Rd,Brentwood,NY,11717-3523,"69 Wicks Rd,Brentwood,NY",40.7798626,-73.2594661
7-Eleven #32873,Convenience Store,"123 Crooked Hill Rd, AKA 123 & 125 Crooked Hill Rd",Brentwood,NY,11717-1005,"123 Crooked Hill Rd, AKA 123 & 125 Crooked Hill Rd,Brentwood,NY",40.7816024,-73.261724
3 Star Gas & Food Mart Inc,Convenience Store,1560 Islip Ave,Brentwood,NY,11717-5205,"1560 Islip Ave,Brentwood,NY",40.7825411,-73.2185555
7-Eleven #11195D,Convenience Store,297 2nd Ave,Brentwood,NY,11717-4906,"297 2nd Ave,Brentwood,NY",40.779371,-73.2274528
Dollar Tree 6318,Combination Grocery/Other,468 Suffolk Ave,Brentwood,NY,11717-4207,"468 Suffolk Ave,Brentwood,NY",40.7781665,-73.2575079
El Bodegon Deli & Meat Corp,Medium Grocery Store,341 Washington Ave,Brentwood,NY,11717-2047,"341 Washington Ave,Brentwood,NY",40.799037,-73.2473942
Walgreens 16303,Combination Grocery/Other,26 Wicks Rd,Brentwood,NY,11717-3509,"26 Wicks Rd,Brentwood,NY",40.7782752,-73.2608253
JONATHAN FOOD CORP,Super Store/Chain Store,1626 Brentwood Rd,Brentwood,NY,11717-5515,"1626 Brentwood Rd,Brentwood,NY",40.7639912,-73.2471437
FAMILY DOLLAR 4771,Combination Grocery/Other,753 Suffolk Ave,Brentwood,NY,11717-4408,"753 Suffolk Ave,Brentwood,NY",40.7816114,-73.2475554
El Fuerte Mini Market LLC,Small Grocery Store,"1048 Islip Ave, Unit A",Brentwood,NY,11717-7800,"1048 Islip Ave, Unit A,Brentwood,NY",40.7669263,-73.2112705
RITE AID 10631,Combination Grocery/Other,1825 Brentwood Rd,Brentwood,NY,11717-4625,"1825 Brentwood Rd,Brentwood,NY",40.7786373,-73.2457718
Afm Fish & Meat Market Corp.,Combination Grocery/Other,253 2nd Ave,Brentwood,NY,11717-4906,"253 2nd Ave,Brentwood,NY",40.7795411,-73.2284304
Bogopa Brentwood Inc/Food Bazaar,Super Store/Chain Store,101 Wicks Rd,Brentwood,NY,11717-3528,"101 Wicks Rd,Brentwood,NY",40.7809049,-73.2601342
Ok Mini Mart,Convenience Store,1862 5th Ave,Brentwood,NY,11717-4661,"1862 5th Ave,Brentwood,NY",40.7767393,-73.2602033
