Entity Name,Street,"City, State, ZIP Code",Column5,Column2,Column6,Column7,Address,Latitude,Longitude
East Hampton Food Pantry,486 Montauk Hwy,"Amagansett, NY 11930",631-324-2300,,,,"486 Montauk Hwy, Amagansett, NY 11930",40.9789531,-72.1299967
"Amityville
Ace Community Ctr./EOC Family Development Ctr.",48 Cedar Rd.,"Amityville, NY 11701",631-842-6100,,,,"48 Cedar Rd., Amityville, NY 11701",40.7097669,-73.4079428
Commodities Supplemental Food Program,143 Schleigel Blvd.,"Amityville, NY 11701",631-789-9533,,,,"143 Schleigel Blvd., Amityville, NY 11701",40.7056955,-73.4054514
Christian Life Center Church Food Pantry,450 Bayview Ave.,"Amityville, NY 11701",631-842-2522,,,,"450 Bayview Ave., Amityville, NY 11701",40.6864315,-73.409227
Faith Pantry,85 Coolidge Ave.,"Amityville, NY 11701",631-852-3555,,,,"85 Coolidge Ave., Amityville, NY 11701",40.662448,-73.400903
God's Provision #2,76 Parkway Dr.,"Amityville, NY 11701",631-790-3820,,,,"76 Parkway Dr., Amityville, NY 11701",40.6789893,-73.4170673
Grace Community Church,117 Columbus Blvd.,"Amityville, NY 11701",631-842-3486,,,,"117 Columbus Blvd., Amityville, NY 11701",40.7078465,-73.4126403
Hollywood Baptist Church,2 Monroe St.,"Amityville, NY 11701",631-842-7091,,,,"2 Monroe St., Amityville, NY 11701",40.7049139,-73.418598
Mount Nebo Missionary Baptist,46 Glenmalure St.,"Amityville, NY 11701",631-842-4073,,,,"46 Glenmalure St., Amityville, NY 11701",40.7017119,-73.4228504
New Hope Institutional Baptist Church,30 Harrison St.,"Amityville, NY 11701",631-789-2544,,,,"30 Harrison St., Amityville, NY 11701",40.6933628,-73.4196325
St. Martin of Tours - Parish Outreach,41 Union Ave.,"Amityville, NY 11701",631-264-4840,,,,"41 Union Ave., Amityville, NY 11701",40.6774642,-73.4158539
Shaw Temple A.M.E. Zion,470 44th St.,"Amityville, NY 11701",631-842-7554,,,,"470 44th St., Amityville, NY 11701",40.6981143,-73.3948898
Our Redeemer Lutheran Church,269 Main Rd.,"Aquebogue, NY 11931",631-722-4400,,,,"269 Main Rd., Aquebogue, NY 11931",40.9410378,-72.6372513
"Babylon
Deacon's Food Pantry/First Presby. Church",79 East Main St.,"Babylon, NY 11702",631-587-5838,,,,"79 East Main St., Babylon, NY 11702",40.6970944,-73.3223031
St. Joseph's Church,59 N. Carll Ave.,"Babylon, NY 11702",631-661-5757,,,,"59 N. Carll Ave., Babylon, NY 11702",40.7000078,-73.3258396
"Bay Shore
Bay Shore Emergency Food Program",28 Brentwood Rd.,"Bay Shore, NY 11706",631-666-4936,,,,"28 Brentwood Rd., Bay Shore, NY 11706",40.7284556,-73.2356426
Family Serv. League/ CAIR Food Closet,1444 Fifth Ave.,"Bay Shore, NY 11706",631-647-3100,,,,"1444 Fifth Ave., Bay Shore, NY 11706",40.7456435,-73.2648589
First Baptist Church of Bay Shore,175 Second Ave.,"Bay Shore, NY 11706",631-665-8863,,,,"175 Second Ave., Bay Shore, NY 11706",40.7326931,-73.2520588
First Christian Church of Brentwood,1818 Fifth Ave.,"Bay Shore, NY 11706",631-273-7256,,,,"1818 Fifth Ave., Bay Shore, NY 11706",40.774462,-73.2605411
God's Provision,1625 Fifth Ave.,"Bay Shore, NY 11706",631-666-7901,,,,"1625 Fifth Ave., Bay Shore, NY 11706",40.7580455,-73.2618509
God's Provision #4 - Bethel A.M.E. Church,54 Brook St.,"Bay Shore, NY 11706",631-790-3820,,,,"54 Brook St., Bay Shore, NY 11706",40.7277842,-73.2478192
Penates Inc,1360 Fifth Ave.,"Bay Shore, NY 11706",631-665-2866,,,,"1360 Fifth Ave., Bay Shore, NY 11706",40.7390119,-73.2639461
Planting Seeds for Christ Food Pantry,281 B Skip Lane,"Bay Shore, NY 11706",631-242-4214,,,,"281 B Skip Lane, Bay Shore, NY 11706",40.7638898,-73.2849358
Pronto of Long Island Food Pantry,128 Pine Aire Dr.,"Bay Shore, NY 11706",631-231-8290,,,,"128 Pine Aire Dr., Bay Shore, NY 11706",40.7731556,-73.2729886
River of Life Food Pantry,45 Pine Aire Dr.,"Bay Shore, NY 11706",631-231-5732,,,,"45 Pine Aire Dr., Bay Shore, NY 11706",40.7757084,-73.2647876
Spanish Bay Shore SDA,1721 Fifth Ave.,"Bay Shore, NY 11706",516-701-4827,,,,"1721 Fifth Ave., Bay Shore, NY 11706",40.7649862,-73.2609972
St. Patrick Hospitality Food Pantry,6 Fifth Ave.,"Bay Shore, NY 11706",631-665-4911,,,,"6 Fifth Ave., Bay Shore, NY 11706",40.7224466,-73.2543989
"Suburban Housing Dev. & Research, Inc",1356 Fifth Ave.,"Bay Shore, NY 11706",631-665-2866,,,,"1356 Fifth Ave., Bay Shore, NY 11706",40.7387985,-73.2636851
"United Vets Beacon House Food Pantry (Specializing in
Veterans needs)",1715 Union Blvd.,"Bay Shore, NY 11706",631-665-1571,,,,"1715 Union Blvd., Bay Shore, NY 11706",40.7248012,-73.2510072
HELP Suffolk Food Pantry,685 Brrokhaven Ave.,"Bellport, NY 11713",631-286-2400,,,,"685 Brrokhaven Ave., Bellport, NY 11713",40.7798494,-72.9352943
Lighthouse Mission,500 Patchogue Ave.,"Bellport, NY 11713",631-758-7584,,,,"500 Patchogue Ave., Bellport, NY 11713",40.7768337,-72.9488981
Mary Immaculate,16 Brown's Ln.,"Bellport, NY 11713",631-286-3795,,,,"16 Brown's Ln., Bellport, NY 11713",40.757402,-72.9354971
Our Lady of the Snow,175 Blue Point Rd.,"Blue Point, NY 11715",631-363-2417,,,,"175 Blue Point Rd., Blue Point, NY 11715",40.853288,-73.0331255
Salvation Army,211 Blue Point Ave.,"Blue Point, NY 11715",631-363-6100,,,,"211 Blue Point Ave., Blue Point, NY 11715",40.7502996,-73.0366847
St. John Nepomucene,1140 Locust Ave.,"Bohemia, NY 11716",631-567-1995,,,,"1140 Locust Ave., Bohemia, NY 11716",40.7697271,-73.1158472
Bethel Pentecostal Church of God,72 Eisenhower Ave.,"Brentwood, NY 11717",631-273-3055,,,,"72 Eisenhower Ave., Brentwood, NY 11717",40.7820255,-73.2752745
Family Service League/Brentwood,801 Crooked Hill Rd.,"Brentwood, NY 11717",631-273-9800,,,,"801 Crooked Hill Rd., Brentwood, NY 11717",40.800851,-73.2811892
God's Provision #13,19 Nostrand Ave.,"Brentwood, NY 11717",631-790-3820,,,,"19 Nostrand Ave., Brentwood, NY 11717",40.7893725,-73.2328794
God's Provision #15,"155 3rd Ave,","Brentwood, NY 11717",631-790-3820,,,,"155 3rd Ave,, Brentwood, NY 11717",40.7773875,-73.2438167
God's Provision #8,12 Calebs Path,"Brentwood, NY 11717",631-790-3820,,,,"12 Calebs Path, Brentwood, NY 11717",40.787393,-73.2211821
God's Provision La Sagrada Palabra,329 Crooked Hill Rd,"Brentwood, NY 11717",631-475-2479,,,,"329 Crooked Hill Rd, Brentwood, NY 11717",40.7855864,-73.2686598
Hospitality Too FP @ St. Anne's Church,88 Second Ave.,"Brentwood, NY 11717",631-665-1811,,,,"88 Second Ave., Brentwood, NY 11717",40.7774593,-73.241381
Mission BOA @ Central Islip Church of God,77 Marshall Ave.,"Brentwood, NY 11717",631-416-7677,,,,"77 Marshall Ave., Brentwood, NY 11717",40.7834708,-73.271307
St. Luke's RC Church,266 Wicks Rd.,"Brentwood, NY 11717",631-435-3931,,,,"266 Wicks Rd., Brentwood, NY 11717",40.7884455,-73.2652944
Bridgehampton Community Food Pantry,2357 Montauk Hwy.,"Bridgehampton,NY 11932",631-537-1527,,,,"2357 Montauk Hwy., Bridgehampton,NY 11932",40.9351356,-72.3057221
St. Anne's Episcopal Church,2463 Main St.,"Bridgehampton,NY 11932",631-537-1527,,,,"2463 Main St., Bridgehampton,NY 11932",40.9365405,-72.302488
Children's Museum of the East End,"376 Bridgehampton
Sag Harbor Tpke","Bridgehampton, NY 11932",631-537-8250,,,,"376 Bridgehampton
Sag Harbor Tpke, Bridgehampton, NY 11932",40.9481034,-72.3011027
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,,
The Bert Strand FP @ East Moriches United Methodist Church,465 Main St.,"Center Moriches,NY 11934",631-878-3290,,,,"465 Main St., Center Moriches,NY 11934",40.8005336,-72.7962762
God's Provision - Fuente de Jacob,236 Montauk Hwy,"Center Moriches,NY 11934",631-790-3820,,,,"236 Montauk Hwy, Center Moriches,NY 11934",40.7998477,-72.7887934
St. John the Evangelist,25 Ocean Ave.,"Center Moriches,NY 11934",631-878-0009,,,,"25 Ocean Ave., Center Moriches,NY 11934",40.799206,-72.7867719
St. John's the Baptist Episcopal Church,33 Railroad Ave.,"Center Moriches,NY 11934",631-878-0022,,,,"33 Railroad Ave., Center Moriches,NY 11934",40.8015347,-72.7896938
The Harbor Church,25-6 Frowein Rd.,"Center Moriches,NY 11934",631-874-4180,,,,"25-6 Frowein Rd., Center Moriches,NY 11934",40.8087268,-72.7802267
The Presbyterian Church,263 Main St.,"Center Moriches,NY 11934",631-878-1993,,,,"263 Main St., Center Moriches,NY 11934",40.800445,-72.7892837
Assumption of BVM Outreach,20 Chestnut St.,"Centereach, NY 11720",631-585-8760,,,,"20 Chestnut St., Centereach, NY 11720",40.8609756,-73.1013885
Lighthouse Mission,"2150 Middle Country
Rd.","Centereach, NY 11720",631-758-7584,,,,"2150 Middle Country
Rd., Centereach, NY 11720",40.8567834,-73.0872879
Our Savior Lutheran Church,140 Mark Tree Rd.,"Centereach, NY 11720",631-588-2757,,,,"140 Mark Tree Rd., Centereach, NY 11720",40.8645666,-73.0839765
Central Islip Civic Council,68 Wheeler Rd.,"Central Islip, NY 11722",631-348-0669,,,,"68 Wheeler Rd., Central Islip, NY 11722",40.7953288,-73.2078103
Central Islip SDA FP,115 Carleton Ave.,"Central Islip, NY 11722",,,,,"115 Carleton Ave., Central Islip, NY 11722",40.783793,-73.2007192
Food for Thought @ Adelante,83 Carleton Ave.,"Central Islip, NY 11722",631-234-1049,,,,"83 Carleton Ave., Central Islip, NY 11722",40.7866468,-73.20127
God's Provision @ Faith Alive Ministries,17 W. Suffolk Ave.,"Central Islip, NY 11722",631-232-3408,,,,"17 W. Suffolk Ave., Central Islip, NY 11722",40.7902618,-73.2054369
God's Provision @ Little Church of God,72 Leaf Ave.,"Central Islip, NY 11722",631-790-3820,,,,"72 Leaf Ave., Central Islip, NY 11722",40.776831,-73.2123526
